field	type	type_big	num_bytes						
TRACENO	i	>i	4						
trace_sequence_file	i	>i	4						
FFID	i	>i	4						
CHAN	i	>i	4						
SOURCE	i	>i	4						
CDP	i	>i	4						
SEQNO	i	>i	4						
TRC_TYPE	h	>h	2						
STACKNT	h	>h	2						
TRFOLD	h	>h	2						
data_use	h	>h	2						
OFFSET	i	>i	4						
REC_ELEV	i	>i	4						
SOU_ELEV	i	>i	4						
DEPTH	i	>i	4						
REC_DATUM	i	>i	4						
SOU_DATUM	i	>i	4						
SOU_H2OD	i	>i	4						
REC_H2OD	i	>i	4						
elevation_scalar	h	>h	2						
source_group_scalar	h	>h	2						
SOU_X	i	>i	4						
SOU_Y	i	>i	4						
REC_X	i	>i	4						
REC_Y	i	>i	4						
coordinate_units	h	>h	2						
weathering_velocity	h	>h	2						
subweathering_velocity	h	>h	2						
UPHOLE	h	>h	2						
REC_UPHOLE	h	>h	2						
SOU_STAT	h	>h	2						
REC_STAT	h	>h	2						
TOT_STAT	h	>h	2						
lag_time_a	h	>h	2						
lag_time_b	h	>h	2						
delay_recording_time	h	>h	2						
TLIVE_S	h	>h	2						
TFULL_S	h	>h	2						
NUMSMP	H	>H	2						
DT	H	>H	2						
IGAIN	h	>h	2						
PREAMP	h	>h	2						
EARLYG	h	>h	2						
COR_FLAG	h	>h	2						
SWEEPFREQSTART	h	>h	2						
SWEEPFREQEND	h	>h	2						
SWEEPLEN	h	>h	2						
SWEEPTYPE	h	>h	2						
SWEEPTAPSTART	h	>h	2						
SWEEPTAPEND	h	>h	2						
SWEEPTAPCODE	h	>h	2						
AAXFILT	h	>h	2						
AAXSLOP	h	>h	2						
FREQXN	h	>h	2						
FXNSLOP	h	>h	2						
FREQXL	h	>h	2						
FREQXH	h	>h	2						
FXLSLOP	h	>h	2						
FXHSLOP	h	>h	2						
YEAR	h	>h	2						
DAY	h	>h	2						
HOUR	h	>h	2						
MINUTE	h	>h	2						
SECOND	h	>h	2						
time_basic_code	h	>h	2						
trace_weighting_factor	h	>h	2						
geophone_group_number_roll1	h	>h	2						
geophone_group_number_first	h	>h	2						240
geophone_group_number_last	h	>h	2						
gap_size	h	>h	2						
over_travel	h	>h	2						
CDP_X	i	>i	4						
CDP_Y	i	>i	4						
ILINE_NO	i	>i	4						
XLINE_NO	i	>i	4						
shot_point	i	>i	4						
shot_point_scalar	h	>h	2						
trace_value_measurement	h	>h	2						
transduction_constant_mantissa	i	>i	4						
transduction_constant_power	h	>h	2						
transduction_unit	h	>h	2						
trace_identifier	h	>h	2						
scalar_trace_header	h	>h	2						
source_type	h	>h	2						
source_energy_direction_mantissa	i	>i	4						
source_energy_direction_exponent	H	>H	2						
source_measurement_mantissa	i	>i	4						
source_measurement_exponent	H	>H	2						
source_measurement_unit	h	>h	2						
unassigned1	i	>i	4						
unassigned2	i	>i	4						
